Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
半;ハン;なか.ば;は;half, middle, odd number, semi-, part-;丶: dot, tick or dot radical (no. 3)<br>二: two, two radical (no.2)<br>十: ten;十;じゅう・じゅうへん;(none);象形 Pictographic;half;"Imagine karate chopping the number three in half with a WALKING STICK and pausing the picture just as the first ""board"" breaks.";I think of this as a pictograph, there are three boards to cut, the first one is already in half and there are still two more to go.
形;ケイ、ギョウ;かた、-がた、かたち、なり;ち;shape, form, style;幵: put together<br>彡: three, hair ornament, short hair or fur radical (no. 59);彡;さん・さんづくり;(none);会意 Compound Ideographic;shape;Everyone in the kindergarten came up with fun and interesting shapes made out of Play-Doh, except for the kid with the amputated arm. Seems like you really need both hands.;With your two hands, outline the shape of a curvaceous woman. Is that a universally understood gesture? [Careful: mould (#680) which has two hands and soil/clay].
太;タイ、タ;ふと.い、ふと.る;おお, たか, ひろ;plump, fat, thick, big around;大: large, big<br>丶: dot, tick or dot radical (no. 3);大;だい・おおきい;(none);形声 Phonetic;plump;A large person with a big drop of sweat dripping off of him because he is so plump.;"Fat(""plump"") men always have small penises.....the kanji is a combination of ""large"" with a drop(representing the small penis between his legs)."
細;サイ;ほそ.い、ほそ.る、こま.か、こま.かい;;dainty, get thin, taper, slender, narrow;糸: thread<br>田: rice field, rice paddy;糸;いと・いとへん;(none);形声 Phonetic;dainty;Dainty women would always rather work with thread than in a field.;Spider-Man used to just be a dainty, brainy nerd.
広;コウ;ひろ.い、ひろ.まる、ひろ.める、ひろ.がる、ひろ.げる;;wide, broad, spacious;广: dotted cliff radical (no. 53)<br>厶: I, myself, katakana mu radical (no. 28);广;まだれ;廣;形声 Phonetic;wide;The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.;"A wide cave has a lot of ""elbow room""."
長;チョウ;なが.い、おさ;お, おしゃ, たかし, たけ, な, は, ひさ;long, leader;長: long, grow, leader radical (no. 168);長;ながい;(none);象形 Pictographic;long;The Geisha with long hair uses an ornate lacquered hairpin to bundle it all up.;The top of this one reminds me of the staple primitive. So here´s my story: The girl´s hair was so long that she had to use staples instead of hairpins. It worked, but stapling her hair to her head was kinda painful.
点;テン;つ.ける、つ.く、た.てる、さ.す、とぼ.す、とも.す、ぼち;;spot, point, mark, speck, decimal point;占: fortune-telling, divining, forecasting, occupy, hold, have, get, take<br>火: fire;黑;くろ・くろへん;點;形声 Phonetic;spot;The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch.;You have to stimulate the G-spot with your magic wand in order to get her on fire. Or you can juste use your mouth...
丸;ガン;まる、まる.める、まる.い;ま, わ, わに;round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away;九: nine<br>丶: dot, tick or dot radical (no. 3);丶;てん・ちょぼ・ちゅ・ちゅてん;(none);象形 Pictographic;round;Nine plus a drop rounds it off to ten!;"Watch out for plump (#120). Here Heisig could have added a ""t"" and we would have had a much better keyword : rotund. Rotund is more specific than ""round"" which begs for confusion with circle (#1811). A dictionary search on ""fat"" or ""round"" doesn´t yield this kanji, but ""rotund"" does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund, smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude)."
交;コウ;まじ.わる、まじ.える、ま.じる、まじ.る、ま.ざる、ま.ぜる、-か.う、か.わす、かわ.す、こもごも;かた;mingle, mixing, association, coming & going;亠: kettle lid radical (no. 8)<br>父: father;亠;けいさん・けいさんかんむり・なべぶた;(none);象形 Pictographic;mingle;Even though your FATHER is an old man, he can´t give up his party lifestyle. Once a week he still dons his cool TOP HAT (well, it was cool 40 years ago) and goes out on the town to MINGLE with the ladies. This is a pretty common thing in Japan, where old motherfuckers still think they can pick up 19 year old girls.;Darth Vader tries to mingle with his troops. He even weares one of the helmets of the stromtroopers. (one of them laughs: white helmet, black suit. Darth Vader thereby slashes him in 2).
光;コウ;ひか.る、ひかり;あき, あきら, こお, てる, ひこ, み, みつ;ray, light;小: little, small<br>兀: high & level, lofty, bald, dangerous;儿;にんにょう・ひとあし;(none);会意 Compound Ideographic;ray;A ray of light is not a wave but made of little photons with human legs.;The ray from Honey I Shrunk the Kids made people little - ha! look at them run around on their tiny legs!
